DIST	PDF	PMF_APP	SP	PMF_RE
9.8	0.0003	4.8356291074060695303	0.64764736669070680956	-1.8644498324420460903
9.85	0.0004	4.664133738116100054	0.6456022990521022662	-1.9497562674823331768
9.9	0.0004	4.664133738116100054	0.6438493839332983097	-1.9652409850222598713
10.0	0.0003	4.8356291074060695303	0.63975924865608915033	-1.8644498324420453794
10.1	0.0003	4.8356291074060695303	0.6350848083392786822	-1.5842674586216071662
10.2	0.0001	5.490542771458650483	0.6257359277056577468	-1.3766320482860951448
10.3	0.0002	5.0773382547873752682	0.61521843699283400807	-1.3425583112403013866
10.4	0.0001	5.490542771458650483	0.6047009462800104561	-1.3425583112403014136
10.45	0.0002	5.0773382547873752682	0.59944220092359877365	-1.4512453157707681053
10.5	0.0002	5.0773382547873752682	0.5959363706859908606	-1.4512453157707702204
