T	FPT
1.4319319319319321e-05	0.0
1.4354354354354357e-05	0.0
1.4389389389389392e-05	0.0
1.4424424424424424e-05	0.0
1.445945945945946e-05	0.0
1.4494494494494496e-05	0.0
1.4529529529529531e-05	0.0
1.4564564564564567e-05	0.0
1.4599599599599603e-05	0.0
1.4634634634634635e-05	0.0
1.466966966966967e-05	0.0
1.4704704704704706e-05	0.0
1.4739739739739742e-05	0.0
1.4774774774774777e-05	0.0
1.4809809809809813e-05	0.0
1.4844844844844845e-05	0.0
1.4879879879879881e-05	0.0
1.4914914914914917e-05	0.0
1.4949949949949952e-05	0.0
1.4984984984984988e-05	0.0
1.5020020020020023e-05	0.0
1.5055055055055056e-05	0.0
1.5090090090090091e-05	0.0
1.5125125125125127e-05	0.0
1.5160160160160163e-05	0.0
1.5195195195195198e-05	0.0
1.523023023023023e-05	0.0
1.5265265265265266e-05	0.0
1.53003003003003e-05	0.0
1.5335335335335337e-05	0.0
1.5370370370370373e-05	0.0
1.540540540540541e-05	0.0
1.544044044044044e-05	0.0
1.5475475475475476e-05	0.0
1.5510510510510512e-05	0.0
1.5545545545545548e-05	0.0
1.5580580580580583e-05	0.0
1.561561561561562e-05	0.0
1.565065065065065e-05	0.0
1.5685685685685687e-05	0.0
1.5720720720720722e-05	0.0
1.5755755755755758e-05	0.0
1.5790790790790794e-05	0.0
1.582582582582583e-05	0.0
1.586086086086086e-05	0.0
1.5895895895895897e-05	0.0
1.5930930930930933e-05	0.0
1.596596596596597e-05	0.0
1.6001001001001004e-05	0.0
1.6036036036036036e-05	0.0
1.6071071071071072e-05	0.0
1.6106106106106108e-05	0.0
1.6141141141141143e-05	0.0
1.617617617617618e-05	0.0
1.6211211211211214e-05	0.0
1.6246246246246247e-05	0.0
1.6281281281281282e-05	0.0
1.6316316316316318e-05	0.0
1.6351351351351354e-05	0.0
1.638638638638639e-05	0.0
1.6421421421421425e-05	0.0
1.6456456456456457e-05	0.0
1.6491491491491493e-05	0.0
1.652652652652653e-05	0.0
1.6561561561561564e-05	0.0
1.65965965965966e-05	0.0
1.6631631631631635e-05	0.0
1.6666666666666667e-05	0.0
1.6701701701701703e-05	0.0
1.673673673673674e-05	0.0
1.6771771771771774e-05	0.0
1.680680680680681e-05	0.0
1.6841841841841842e-05	0.0
1.6876876876876878e-05	0.0
1.6911911911911913e-05	0.0
1.694694694694695e-05	0.0
1.6981981981981985e-05	0.0
1.701701701701702e-05	0.0
1.7052052052052053e-05	0.0
1.7087087087087088e-05	0.0
1.7122122122122124e-05	0.0
1.715715715715716e-05	0.0
1.7192192192192195e-05	0.0
1.722722722722723e-05	0.0
1.7262262262262263e-05	0.0
1.72972972972973e-05	0.0
1.7332332332332334e-05	0.0
1.736736736736737e-05	0.0
1.7402402402402406e-05	0.0
1.743743743743744e-05	0.0
1.7472472472472473e-05	0.0
1.750750750750751e-05	0.0
1.7542542542542545e-05	0.0
1.757757757757758e-05	0.0
1.7612612612612616e-05	0.0
1.7647647647647648e-05	0.0
1.7682682682682684e-05	0.0
1.771771771771772e-05	0.0
1.7752752752752755e-05	0.0
1.778778778778779e-05	0.0
1.7822822822822826e-05	0.0
1.785785785785786e-05	0.0
1.7892892892892894e-05	0.0
1.792792792792793e-05	0.0
1.7962962962962965e-05	0.0
1.7997997997998e-05	0.0
1.8033033033033037e-05	0.0
