#X	PMF_FIT
17.11623246492986	-2.2390711464651005
17.142284569138276	-2.2155136097668824
17.168336673346694	-2.192042219647671
17.194388777555112	-2.16866254313062
17.220440881763526	-2.145379994025923
17.246492985971944	-2.1221998355601706
17.27254509018036	-2.099127183087455
17.298597194388776	-2.076167006869851
17.324649298597194	-2.053324134915806
17.350701402805612	-2.0306032558655085
17.37675350701403	-2.008008921913157
17.402805611222444	-1.9855455517566618
17.428857715430862	-1.963217433565989
17.454909819639276	-1.9410287279620613
17.480961923847694	-1.9189834709986289
17.507014028056112	-1.8970855771403095
17.53306613226453	-1.8753388422303632
17.559118236472948	-1.8537469464424812
17.585170340681362	-1.8323134572113149
17.61122244488978	-1.8110418321369375
17.637274549098194	-1.7899354218590244
17.663326653306612	-1.768997472896778
17.68937875751503	-1.7482311304512754
