# -------------- DOUBLE-WELL PMF FIT SAMPLES ----------------
# INPUT pmf file: data_exp/pmf-1.1.csv | x_column: X | pmf_column: PMF
# INPUT Thermal Energy (KbT): 0.59616108
# INPUT Spring constant (Ks): 10
# Double-Well PMF FIT Parameters => depth: -0.47824924762130355 | bias: -0.0022295192210032796 | x_offset: 6.245321225283189 | x_scale: 0.00898249911886888 | phi_offset: 0.3319092339969332 | phi_scale: 0.0774716572504885
# ----------------------------------------
X	PMF
57.266277268754266	-3.5958621843862373
58.84966982189525	-3.6231957779189425
60.4330623750362	-3.6493397164676242
62.016454928177154	-3.6741560062960303
63.59984748131811	-3.697505875523399
65.18324003445906	-3.7192501712883237
66.76663258760001	-3.7392497130624434
68.35002514074097	-3.757365587500021
69.93341769388192	-3.773459371792987
71.51681024702287	-3.7873932751389154
73.10020280016386	-3.7990301916413767
74.68359535330481	-3.808233662698932
76.26698790644576	-3.8148677525761454
77.85038045958672	-3.818796847184907
79.43377301272767	-3.819885392859782
81.01716556586862	-3.8179975987411616
82.60055811900958	-3.8129971328811343
84.18395067215056	-3.804746847911146
85.76734322529151	-3.793108576581385
87.35073577843247	-3.7779430402139225
88.93412833157342	-3.759109913634436
90.51752088471437	-3.73646808803455
92.10091343785533	-3.7098761681250374
