# -------------- DOUBLE-WELL PMF FIT SAMPLES ----------------
# INPUT pmf file: data_exp/pmf-2.1.csv | x_column: X | pmf_column: PMF
# INPUT Thermal Energy (KbT): 0.59616108
# INPUT Spring constant (Ks): 10
# Double-Well PMF FIT Parameters => depth: -0.44057585566843754 | bias: 0.03231740791361949 | x_offset: -5.155731642069352 | x_scale: 0.010065801152366797 | phi_offset: 0.04978744416726795 | phi_scale: 0.11030712002902043
# ----------------------------------------
X	PMF
70.4133406813115	-3.4341296628510807
71.66206769421004	-3.423337995462292
72.91079470710858	-3.4085794266587364
74.15952172000712	-3.389744836476455
75.40824873290566	-3.366749756787334
76.6569757458042	-3.339535134512634
77.90570275870274	-3.3080674310037126
79.15442977160129	-3.2723380594605485
80.40315678449983	-3.232362198665509
81.65188379739837	-3.188177054065364
82.90061081029691	-3.1398396634642105
84.14933782319545	-3.0874243623047697
85.39806483609402	-3.031020031818539
86.64679184899256	-2.9707272524281816
87.8955188618911	-2.9066554758499046
89.14424587478965	-2.838920314201893
90.39297288768819	-2.767641025246629
91.64169990058673	-2.69293825186691
92.89042691348527	-2.6149320529438786
94.13915392638381	-2.533740243508709
95.38788093928235	-2.4494770454334662
96.6366079521809	-2.362252036590579
97.88533496507944	-2.272169376509537
99.13406197797798	-2.179327279939183
100.38278899087652	-2.0838177060129466
101.63151600377506	-1.985726229420087
102.8802430166736	-1.885132060574392
104.12897002957217	-1.782108183724622
105.37769704247071	-1.6767215848046204
106.62642405536926	-1.5690335441850682
107.8751510682678	-1.459099973054594
109.12387808116634	-1.3469717756934354
110.37260509406488	-1.232695223246925
111.62133210696342	-1.1163123276547542
112.87005911986196	-0.9978612070887328
114.1187861327605	-0.8773764365746111
115.36751314565905	-0.7548893794261002
116.61624015855759	-0.6304284967221592
117.86496717145613	-0.5040196333428103
119.11369418435467	-0.37568628008106925
120.36242119725321	-0.24544981210723876
121.61114821015175	-0.11332970461498068
122.85987522305028	0.020656273138373617
