# ------------------ First Passage Time Distribution -----------------
TIME	FPTD
2.5830679679679677e-09	0.080602117
2.5930770770770764e-09	0.080282883
2.603086186186186e-09	0.079965331
2.613095295295295e-09	0.079649451
2.623104404404404e-09	0.079335235
2.633113513513513e-09	0.079022673
2.6431226226226224e-09	0.078711759
2.6531317317317315e-09	0.078402483
2.6631408408408407e-09	0.078094835
2.6731499499499494e-09	0.077788809
2.6831590590590585e-09	0.077484394
2.693168168168168e-09	0.077181583
2.703177277277277e-09	0.076880367
2.713186386386386e-09	0.076580737
2.723195495495495e-09	0.076282687
2.733204604604604e-09	0.075986205
2.7432137137137137e-09	0.075691287
2.7532228228228224e-09	0.075397921
2.7632319319319315e-09	0.075106101
2.7732410410410406e-09	0.074815818
2.7832501501501497e-09	0.074527064
2.793259259259259e-09	0.074239831
2.803268368368368e-09	0.073954111
2.813277477477477e-09	0.073669897
2.8232865865865862e-09	0.073387179
2.833295695695695e-09	0.073105951
2.8433048048048045e-09	0.072826205
2.8533139139139136e-09	0.072547931
2.8633230230230227e-09	0.072271124
2.8733321321321315e-09	0.071995775
2.8833412412412406e-09	0.071721876
2.89335035035035e-09	0.071449421
2.9033594594594593e-09	0.0711784
2.913368568568568e-09	0.070908807
2.923377677677677e-09	0.070640634
2.9333867867867866e-09	0.070373874
2.9433958958958958e-09	0.070108519
2.9534050050050045e-09	0.069844561
2.9634141141141136e-09	0.069581995
2.9734232232232227e-09	0.069320811
2.9834323323323323e-09	0.069061003
2.993441441441441e-09	0.068802565
3.00345055055055e-09	0.068545487
3.0134596596596592e-09	0.068289763
3.0234687687687683e-09	0.068035387
3.033477877877878e-09	0.06778235
3.0434869869869866e-09	0.067530647
3.0534960960960957e-09	0.067280269
3.063505205205205e-09	0.06703121
3.0735143143143136e-09	0.066783463
3.083523423423423e-09	0.066537021
3.0935325325325322e-09	0.066291878
3.1035416416416413e-09	0.066048026
3.11355075075075e-09	0.065805458
3.123559859859859e-09	0.065564168
3.1335689689689687e-09	0.065324149
3.143578078078078e-09	0.065085395
3.1535871871871866e-09	0.064847898
3.1635962962962957e-09	0.064611653
3.173605405405405e-09	0.064376651
3.1836145145145143e-09	0.064142888
3.1936236236236235e-09	0.063910356
3.203632732732732e-09	0.063679049
3.2136418418418413e-09	0.06344896
3.223650950950951e-09	0.063220084
3.23366006006006e-09	0.062992413
3.2436691691691687e-09	0.062765941
3.253678278278278e-09	0.062540663
3.263687387387387e-09	0.062316571
3.2736964964964965e-09	0.062093659
3.283705605605605e-09	0.061871922
3.2937147147147143e-09	0.061651353
3.3037238238238234e-09	0.061431946
3.313732932932932e-09	0.061213695
3.3237420420420417e-09	0.060996593
3.333751151151151e-09	0.060780635
3.34376026026026e-09	0.060565814
3.353769369369369e-09	0.060352125
3.3637784784784778e-09	0.060139561
3.3737875875875873e-09	0.059928118
3.3837966966966964e-09	0.059717788
3.3938058058058056e-09	0.059508567
3.4038149149149143e-09	0.059300447
3.4138240240240234e-09	0.059093423
3.423833133133133e-09	0.058887491
3.433842242242242e-09	0.058682643
3.4438513513513508e-09	0.058478873
3.45386046046046e-09	0.058276178
3.463869569569569e-09	0.05807455
3.4738786786786786e-09	0.057873985
3.4838877877877873e-09	0.057674475
3.4938968968968964e-09	0.057476017
3.5039060060060055e-09	0.057278604
3.513915115115115e-09	0.057082231
3.5239242242242238e-09	0.056886893
3.533933333333333e-09	0.056692583
3.543942442442442e-09	0.056499297
3.553951551551551e-09	0.05630703
3.5639606606606603e-09	0.056115775
3.5739697697697694e-09	0.055925527
3.5839788788788785e-09	0.055736282
3.5939879879879876e-09	0.055548034
3.6039970970970964e-09	0.055360777
3.614006206206206e-09	0.055174507
3.624015315315315e-09	0.054989218
3.634024424424424e-09	0.054804905
3.644033533533533e-09	0.054621563
3.654042642642642e-09	0.054439186
3.6640517517517515e-09	0.054257771
3.6740608608608606e-09	0.054077311
3.6840699699699694e-09	0.053897801
3.6940790790790785e-09	0.053719237
3.7040881881881876e-09	0.053541614
3.714097297297297e-09	0.053364927
3.724106406406406e-09	0.05318917
3.734115515515515e-09	0.053014339
3.744124624624624e-09	0.052840429
3.754133733733733e-09	0.052667435
3.764142842842843e-09	0.052495353
3.774151951951952e-09	0.052324177
3.78416106106106e-09	0.052153902
3.794170170170169e-09	0.051984525
3.804179279279279e-09	0.051816039
3.814188388388388e-09	0.051648442
3.824197497497497e-09	0.051481727
3.834206606606606e-09	0.05131589
